Nº registro,Completo Parte,Edificio / Parte,Tipo vía,Calle,Portal,Piso,Municipio,Localidad,Código postal,Provincia,Zona climática,Año construcción,Normativa,Datos catastrales,Tipo edificio,Alcance edificio,Fecha inicio de vigencia,Fecha fin de vigencia,Superficie habitable,Superficie calefactada,Superficie refrigerada,Consumo anual,Emisiones anuales,Calificación energética,Calificación energ. emisiones,Más datos,Cod. calle,Cod. portal,Cod. provincia,Cod. municipio,Cod. localidad,Nº viviendas,Comunidad autónoma,Procedimiento,Cal. Grado Centralizacion,Cal. Equipo Principal,Cal. Tipo Energia,ACS Grado Centralizacion,ACS Equipo Principal,ACS Tipo Energia
CEE/CAPV/2017/00107719/E,1,NHO-55315/2017-01_AG17_1413,Poligonoa/Polígono,Calle C,17,UNIFAMILIAR,Iruña Oka/Iruña de Oca,Nanclares de la Oca/Langraiz Oka | Diseminado,1230.0,Araba/Álava,D1,1993,NBE-CT-79,260106290000010001LV,Otros usos,Existente,2017-11-15,2027-11-15,153.0,100,0,475.5,80.5,E,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2017-00107719-E,130190100000180.0,80190100006460.0,1,901,10190100000040,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2017/00107722/E,0,CALLE URIBE Nº2 1ºD,Kalea/Calle,Uribe,2,1ºD,Alegría-Dulantzi,Alegría-Dulantzi,1240.0,Araba/Álava,D1,2009,CTE 2006,1 103 2 3 3 4,Vivienda,Existente,2017-10-18,2027-10-18,71.0,100,0,168.2,35.6,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2017-00107722-E,130100100000500.0,80100100010220.0,1,1,10100100000010,1.0,Euskadi,CE3Xv2.3,Centralizado,Caldera estandar,Gas natural,Centralizado,Caldera estandar,Gas natural
CEE/CAPV/2017/00107740/E,1,CALLE LA IGLESIA Nº2 B,Kalea/Calle,La Iglesia,2,UNIFAMILIAR,Armiñón,Armiñón,1220.0,Araba/Álava,D1,1825,Anterior NBE-CT-79,060114180000010001HT,Otros usos,Existente,2017-10-30,2027-10-30,117.0,100,0,358.0,60.6,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2017-00107740-E,130100600000040.0,80100600001570.0,1,6,10100600000019,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2017/00107742/E,0,"AVDA. LANGRAIZ, 21 - 1º CTO.",Etorbidea/Avenida,Langraiz,21,1º CTO.,Iruña Oka/Iruña de Oca,Nanclares de la Oca/Langraiz Oka | Nanclares de la Oca / Langraiz Oka,1230.0,Araba/Álava,D1,1977,Anterior NBE-CT-79,260110750000010002LZ,Vivienda,Existente,2017-12-19,2027-12-19,105.0,100,0,103.6,27.2,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2017-00107742-E,130190100000840.0,80190100000847.0,1,901,10190100000035,1.0,Euskadi,CE3Xv2.3,Centralizado,Caldera condensación,Gasóleo,Centralizado,Caldera condensación,Gasóleo
CEE/CAPV/2017/00107831/E,0,DOCTOR FLEMING 3 2ºDCHA,Kalea/Calle,Doctor Fleming,3,2ºDCHA,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1963,Anterior NBE-CT-79,360400310000020004EN,Vivienda,Existente,2017-12-23,2027-12-23,59.0,100,0,205.1,43.4,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2017-00107831-E,130103600000150.0,80103600001352.0,1,36,10103600000016,1.0,Euskadi,CEXv2.1,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2017/00107846/E,0,"Solozelai 6, 2º Dcha. Llodio",Kalea/Calle,Solozelai,6,2º Dcha.,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1968,Anterior NBE-CT-79,360400020000040004CY,Vivienda,Existente,2017-12-18,2027-12-18,73.0,100,0,261.9,55.5,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2017-00107846-E,130103600000960.0,80103600008598.0,1,36,10103600000016,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108026/E,0,VIVIENDA 4A,Etorbidea/Avenida,Zumalakarregi,56,4º A,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1950,Anterior NBE-CT-79,360201630000020007IT,Vivienda,Existente,2017-12-22,2027-12-22,70.0,100,0,460.9,78.1,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108026-E,130103600001230.0,80103600011107.0,1,36,10103600000016,1.0,Euskadi,CE3X,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2018/00108033/E,1,GOIENURI 11,Kalea/Calle,Goienuri,11,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1966,Anterior NBE-CT-79,36020079000003,Vivienda,Existente,2017-12-27,2027-12-27,603.0,100,0,319.1,63.8,G,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108033-E,130103600000320.0,80103600002291.0,1,36,10103600000016,12.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108041/E,1,CALLE LA FUNTE Nº7 B,Kalea/Calle,La Fuente,7,B,Armiñón,Armiñón,1220.0,Araba/Álava,D1,1825,Anterior NBE-CT-79,060114210000020001LN,Otros usos,Existente,2017-11-07,2027-11-07,25.0,100,0,682.2,115.7,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108041-E,130100600000020.0,80100600002640.0,1,6,10100600000019,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2018/00108043/E,1,CALLE LA IGLESIA Nº8 BAJO,Kalea/Calle,La Iglesia,8,B,Armiñón,Armiñón,1220.0,Araba/Álava,D1,1825,Anterior NBE-CT-79,060114280000010001BP,Vivienda,Existente,2017-11-02,2027-11-02,85.0,100,0,370.8,62.8,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108043-E,130100600000040.0,80100600000890.0,1,6,10100600000019,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
