Nº registro,Completo Parte,Edificio / Parte,Tipo vía,Calle,Portal,Piso,Municipio,Localidad,Código postal,Provincia,Zona climática,Año construcción,Normativa,Datos catastrales,Tipo edificio,Alcance edificio,Fecha inicio de vigencia,Fecha fin de vigencia,Superficie habitable,Superficie calefactada,Superficie refrigerada,Consumo anual,Emisiones anuales,Calificación energética,Calificación energ. emisiones,Más datos,Cod. calle,Cod. portal,Cod. provincia,Cod. municipio,Cod. localidad,Nº viviendas,Comunidad autónoma,Procedimiento,Cal. Grado Centralizacion,Cal. Equipo Principal,Cal. Tipo Energia,ACS Grado Centralizacion,ACS Equipo Principal,ACS Tipo Energia
CEE/CAPV/2013/00000271/R01,0,CASA 5A,Bidea/Camino,Camino Viejo,1,CASA 5A,Oyón-Oion,Oyón-Oion,1320.0,Araba/Álava,D1,1998,Anterior NBE-CT-79,430202730000050001EQ,ViviendaUnifamiliar,Nuevo,2023-09-18,2033-09-18,148.32,100,100,272.83,55.11,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00000271-R01,130104300000560.0,80104300007200.0,1,43,10104300000048,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,CALDERA SAUNIER DUVAL THEMIS TWIN 28,Gas natural
CEE/CAPV/2013/00000346/A02,0,Residencial Zubito nº5,Auzoa/Barrio,Zubito,5,UNIFAMILIAR,Ayala/Aiara,Arespalditza/Respaldiza | Arespalditza / Respaldiza,1476.0,Araba/Álava,D1,2000,Anterior NBE-CT-79,0010-0003-0257-0004,ViviendaUnifamiliar,Existente,2025-05-28,2035-05-28,159.5,100,0,328.6,69.5,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00000346-A02,130101000001770.0,80101000010990.0,1,10,10101000000308,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)",Equipos individuales,Equipo mixto para calefaccion y ACS,"GLP (Butano, propano...)"
CEE/CAPV/2013/00001391/A01,1,"C/ Zabalbidea, 1",Kalea/Calle,Zabalbidea,1,UNIFAMILIAR,Zigoitia,Zaitegi,1138.0,Araba/Álava,D1,1998,NBE-CT-79,180202040000010001FX,ViviendaUnifamiliar,Nuevo,2023-08-05,2033-08-05,134.91,100,0,106.7,18.1,C,B,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001391-A01,130101800001540.0,80101800006310.0,1,18,10101800000210,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2013/00001763/R01,0,Planta baja,Kalea/Calle,Virgen del Carmen,27,Bajo,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1982,Anterior NBE-CT-79,360400320000030018IX,LocalUsoTerciario,Nuevo,2023-10-24,2033-10-24,535.0,100,100,325.7,55.2,F,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001763-R01,130103600001150.0,80103600010120.0,1,36,10103600000016,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2013/00001895/R01,1,CARRETERA BERGARA 5 A,Errepidea/Carretera,Bergara,5,A,Arratzua-Ubarrundia,Mendibil,1520.0,Araba/Álava,D1,2003,NBE-CT-79,080300110000010001BZ,ViviendaUnifamiliar,Nuevo,2023-07-31,2033-07-31,298.69,26,0,157.0,36.0,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001895-R01,130100800000470.0,80100800001958.0,1,8,10100800000128,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,EQUIPO TERMODINÁMICO,ENERGÍA AMBIENTE Y SOLAR
CEE/CAPV/2013/00001925/R01,1,CASERÍO EN IBAGÜEN Nº2,Auzoa/Barrio,Ibaguen,2,caserio,Ayala/Aiara,Quejana/Kexaa | Diseminado,1477.0,Araba/Álava,D1,1860,Anterior NBE-CT-79,0010-0006-0215-0001,ViviendaUnifamiliar,Nuevo,2024-06-05,2034-06-05,273.34,100,0,337.8,89.1,E,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001925-R01,130101000000560.0,80101000005412.0,1,10,10101000000294,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,Equipo mixto para generación de calefacción y ACS,Gasóleo
CEE/CAPV/2014/00007609/R01,1,BLOQUE DE 4 VIVIENDAS Y LOCALES,Kalea/Calle,La Cruz,7,UNIFAMILIAR,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,1322.0,Araba/Álava,D1,2009,CTE 2006,39020861000001,BloqueDeViviendaCompleto,Nuevo,2024-11-26,2034-11-26,272.9,100,0,125.1,21.4,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00007609-R01,130103900000040.0,80103900003260.0,1,39,10103900000010,4.0,Euskadi,CEXv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Centralizado,Intercambiador de placas,PLACAS SOLARES TERMICAS
CEE/CAPV/2014/00012209/R01,0,"ELEXONDO 5, 3 F",Kalea/Calle,Elexondo,5,3F,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1997,Anterior NBE-CT-79,02 0014 0019 000 0003 006,ViviendaIndividualEnBloque,Existente,2026-02-05,2036-02-05,93.0,100,0,186.8,39.6,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00012209-R01,130100200000340.0,80100200012330.0,1,2,10100200000023,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2014/00012951/R01,1,LATIORRONDO Nº5,Kalea/Calle,Latiorrondo,5,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1955,Anterior NBE-CT-79,36050061000001,BloqueDeViviendaCompleto,Existente,2025-11-03,2035-11-03,491.35,100,0,278.7,53.8,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00012951-R01,130103600000680.0,80103600006647.0,1,36,10103600000016,10.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2014/00013589/R01,1,17 viviendas en LAPUEBLA DE LABARCA,Etorbidea/Avenida,Excelentísima Diputación,31,UNIFAMILIAR,Lapuebla de Labarca,Lapuebla de Labarca,1306.0,Araba/Álava,D1,2010,CTE 2006,33000304430000001,BloqueDeViviendaCompleto,Existente,2025-05-07,2035-05-07,1495.0,100,0,123.0,27.79,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00013589-R01,130103300000020.0,80103300007570.0,1,33,10103300000013,17.0,Euskadi,CEXv2.3,Centralizado,Caldera condensación,"GLP (Butano, propano...)",Centralizado,Caldera condensación,"GLP (Butano, propano...)"
CEE/CAPV/2014/00014754/R01,0,VIVIENDA SEGUNDO DERECHA,Kalea/Calle,Antonio Diez Caballero,7,2ºDcha,Elciego,Elciego,1340.0,Araba/Álava,D1,1978,Anterior NBE-CT-79,221004600000010003KR,ViviendaIndividualEnBloque,Nuevo,2024-03-22,2034-03-22,95.6,100,0,247.1,52.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00014754-R01,130102200000040.0,80102200000643.0,1,22,10102200000016,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)",Equipos individuales,Caldera estandar,"GLP (Butano, propano...)"
CEE/CAPV/2014/00014770/A02,1,EDERKI 6 -ARBULU,Kalea/Calle,Ederki,6,UNIFAMILIAR,Elburgo/Burgelu,Arbulu,1192.0,Araba/Álava,D1,2003,NBE-CT-79,21010376000001000,ViviendaUnifamiliar,Existente,2026-05-04,2036-05-04,212.5,100,0,23.1,5.0,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00014770-A02,130102100000060.0,80102100003100.0,1,21,10102100000023,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2014/00014814/A01,1,Vivienda asilada en Zuazo de Cuartango 7,Entitatea/Entidad,Zuhatzu Kuartango,7,mano única,Kuartango,Zuhatzu Kuartango,1430.0,Araba/Álava,D1,2019,CTE 2006,20000404850000001001,Vivienda,Existente,2020-12-16,2030-12-16,105.0,100,0,2.4,0.4,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00014814-A01,130102000000200.0,80102000001631.0,1,20,10102000000293,1.0,Euskadi,CE3X,Equipos individuales,Bomba de calor,Geotermia,Equipos individuales,Bomba de calor,Geotermia
CEE/CAPV/2014/00023442/A01,0,"Avd. Diputacion nº 16 2 B, LAGUARDIA, ALAVA",Etorbidea/Avenida,Excma. Diputación,16,2º C,Laguardia,Laguardia,1300.0,Araba/Álava,D1,1996,Anterior NBE-CT-79,31 0007 1615 000 0001 004,Vivienda,Existente,2017-01-05,2027-01-05,90.0,90,0,236.3,50.0,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00023442-A01,130103100000270.0,80103100007720.0,1,31,10103100000043,1.0,Euskadi,CE3X,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2014/00024894/A01,1,"FCO. SANTOS DE AYALA, 24 (DURANA)",Kalea/Calle,Francisco Santos de Ayala,24,UNIFAMILIAR,Arratzua-Ubarrundia,Durana,1520.0,Araba/Álava,D1,2004,Anterior NBE-CT-79,0008-0003-0343-0001-0001,ViviendaUnifamiliar,Nuevo,2024-05-03,2034-05-03,176.0,100,0,22.3,3.8,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00024894-A01,130100800000680.0,80100800005960.0,1,8,10100800000073,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2014/00027374/A01,1,"C/ Anúcita, 13",Entitatea/Entidad,Anuntzeta/Anúcita,13,UNIFAMILIAR,Erriberagoitia/Ribera Alta,Anuntzeta/Anúcita,1428.0,Araba/Álava,D1,2008,CTE 2006,460209630000010001AZ,ViviendaUnifamiliar,Nuevo,2022-11-13,2032-11-13,146.47,100,0,145.0,37.6,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00027374-A01,130104600000240.0,80104600013190.0,1,46,10104600000020,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,Caldera estandar,Gasóleo
CEE/CAPV/2014/00027608/A01,1,"C/ Ursuleta, 14",Kalea/Calle,Ursuleta,14,UNIFAMILIAR,Alegría-Dulantzi,Alegría-Dulantzi,1240.0,Araba/Álava,D1,1998,Anterior NBE-CT-79,010105990000010001JN,ViviendaUnifamiliar,Nuevo,2023-03-26,2033-03-26,152.2,100,0,162.4,36.2,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00027608-A01,130100100000280.0,80100100003200.0,1,1,10100100000010,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2014/00028075/R01,0,C/ LUCAS REY Nº 12-3º IZDA. AMURRIO,Kalea/Calle,Lucas Rey,12,3º IZDA,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1990,NBE-CT-79,021400470000010005IY,ViviendaIndividualEnBloque,Nuevo,2024-11-20,2034-11-20,92.0,100,0,156.9,33.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00028075-R01,130100200000570.0,80100200005897.0,1,2,10100200000023,6.0,Euskadi,CEXv2.3,Equipos individuales,Caldera condensación,"GLP (Butano, propano...)",Equipos individuales,Caldera condensación,"GLP (Butano, propano...)"
CEE/CAPV/2015/00029301/R01,1,Bloque de viviendas en c/ Solozelai nº 8,Kalea/Calle,Solozelai,8,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1968,Anterior NBE-CT-79,36040002000003,BloqueDeViviendaCompleto,Nuevo,2024-09-24,2034-09-24,910.05,100,0,264.9,52.7,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00029301-R01,130103600000960.0,80103600008602.0,1,36,10103600000016,10.0,Euskadi,CEXv2.3,Equipos individuales,CALDERA ESTANDAR Y RADIADORES,GAS NATURAL Y ELECTRICIDAD,Equipos individuales,CALDERA/CALENTADOR ESTANDAR Y TERMOS,GAS NATURAL Y ELECTRICIDAD
CEE/CAPV/2015/00029425/R01,0,Vivienda en calle Dionisio Aldama nº24 3ºC,Kalea/Calle,Dionisio Aldama,24,3ºC,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1991,Anterior NBE-CT-79,02 0016 0061 000 0003 009,ViviendaIndividualEnBloque,Existente,2025-06-19,2035-06-19,88.89,100,0,111.85,23.23,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00029425-R01,130100200000320.0,80100200001780.0,1,2,10100200000023,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2015/00029440/A01,1,CASERÍO OKARANTZA,Sakabanatua/Diseminado,Zigoitia,10,UNIFAMILIAR,Zigoitia,Zigoitiko sakabanatuak | Sakabanatua / Diseminado,1138.0,Araba/Álava,D1,2016,CTE 2013,0018003021400010001,ViviendaUnifamiliar,Nuevo,2023-12-16,2033-12-16,290.0,100,0,78.5,13.3,B,B,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00029440-A01,130101800001370.0,80101800013410.0,1,18,10101800000250,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2015/00030358/A01,1,AVDA RIOJA Nº 12 01300 LAGUARDIA,Etorbidea/Avenida,La Rioja,12,UNIFAMILIAR,Laguardia,Laguardia,1300.0,Araba/Álava,D1,2001,Anterior NBE-CT-79,31 0007 1582 000 0001 001,Vivienda,Existente,2017-05-23,2027-05-23,155.0,100,30,197.1,41.7,E,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00030358-A01,130103100000720.0,80103100010970.0,1,31,10103100000043,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2015/00032389/A01,1,SAN JOSÉ Nº 7-8-9 (bloque C),Auzoa/Barrio,San Jose,7,- 8 - 9 (Bloque C),Amurrio,Amurrio,1470.0,Araba/Álava,D1,1960,Anterior NBE-CT-79,polígono 14 parcela 203,Vivienda,Existente,2018-02-28,2028-02-28,1879.0,100,0,127.9,27.1,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00032389-A01,130100200000720.0,80100200006135.0,1,2,10100200000023,30.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2015/00032945/A01,1,SAN JOSÉ Nº 10 (BLOQUE D),Auzoa/Barrio,San Jose,10,", 11 y 12",Amurrio,Amurrio,1470.0,Araba/Álava,D1,1960,Anterior NBE-CT-79,polígono 14 parcela 204,Vivienda,Existente,2016-10-10,2026-10-10,1693.0,100,0,126.7,26.4,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00032945-A01,130100200000720.0,80100200006166.0,1,2,10100200000023,10.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2015/00033030/A03,1,SAN JOSÉ Nº 5 Y 6 (BLOQUE B),Auzoa/Barrio,San Jose,5,y 6 (Bloque B),Amurrio,Amurrio,1470.0,Araba/Álava,D1,1960,Anterior NBE-CT-79,polígono 14 parcela 202,Vivienda,Existente,2016-10-10,2026-10-10,1220.0,100,0,127.9,27.1,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00033030-A03,130100200000720.0,80100200006114.0,1,2,10100200000023,20.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2015/00033251/A01,0,LOCAL,Kalea/Calle,Baia,6,"BJ 22, LOCAL",Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1979,Anterior NBE-CT-79,003600040114000000022,LocalUsoTerciario,Existente,2025-09-17,2035-09-17,74.0,100,0,532.1,90.1,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00033251-A01,130103600000080.0,80103600031800.0,1,36,10103600000016,1.0,Euskadi,CEXv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2015/00034209/A01,1,GOIKOLARRA 02 EA,Plaza/Plaza,Goikolarra,2,UNIFAMILIAR,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1954,Anterior NBE-CT-79,02140150000001,BloqueDeViviendaCompleto,Existente,2024-03-13,2029-03-13,230.0,100,0,518.5,109.7,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00034209-A01,130100200000390.0,80100200002792.0,1,2,10100200000023,6.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2015/00034235/A01,1,"C/ Teileria, 6",Kalea/Calle,Teileria,6,UNIFAMILIAR,Alegría-Dulantzi,Egileta,1193.0,Araba/Álava,D1,2007,CTE 2006,010201720000010001BW,ViviendaUnifamiliar,Existente,2025-03-08,2035-03-08,193.76,100,0,48.3,8.7,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00034235-A01,130100100000580.0,80100100010200.0,1,1,10100100000025,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Centralizado,Bomba de calor,Electricidad
CEE/CAPV/2015/00038181/A01,1,ANITXETA Nº 9,Kalea/Calle,Anitxeta,9,Vivienda unifamiliar,Zigoitia,Berrikano,1138.0,Araba/Álava,D1,2004,Anterior NBE-CT-79,180611300000010001LT,ViviendaUnifamiliar,Existente,2024-03-11,2034-03-11,148.0,100,100,66.2,11.2,B,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00038181-A01,130101800001490.0,80101800010900.0,1,18,10101800000040,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2015/00041892/A01,0,Vivienda excluido el trastero en planta baja,Errepidea/Carretera,Sarria,3,UNIFAMILIAR,Zuia,Murgia,1130.0,Araba/Álava,D1,1942,Anterior NBE-CT-79,63 0006 0005 000 0001 001,Vivienda,Existente,2016-10-19,2026-10-19,142.0,100,0,440.3,116.1,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00041892-A01,130106300000700.0,80106300003217.0,1,63,10106300000160,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,Caldera estandar,Gasóleo
CEE/CAPV/2015/00042817/R01,0,2º E,Plaza/Plaza,San Juan,1,2º E,Agurain/Salvatierra,Agurain/Salvatierra,1200.0,Araba/Álava,E1,1993,NBE-CT-79,510301490000010004DY,ViviendaIndividualEnBloque,Existente,2026-02-24,2036-02-24,41.68,100,0,312.0,52.9,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00042817-R01,130105100000490.0,80105100003251.0,1,51,10105100000073,1.0,Euskadi,CEXv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Inter-acumulador,Electricidad
CEE/CAPV/2015/00043164/A03,1,VIVIENDA UNIFAMILIAR,Auzoa/Barrio,Ripa,61,UNIFAMILIAR,Ayala/Aiara,Izoria,1479.0,Araba/Álava,D1,2000,NBE-CT-79,10 0005 0205 000 0001 001,Vivienda,Existente,2018-03-27,2028-03-27,104.0,0,100,245.2,51.9,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2015-00043164-A03,130101000001170.0,80101000010650.0,1,10,10101000000098,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)",Equipos individuales,Caldera estandar,"GLP (Butano, propano...)"
CEE/CAPV/2016/00052238/A02,1,Plaza Senda Langarica 1-2-3-4-5 y Calle Senda 16,Plaza/Plaza,Senda de Langarica,1,-2-3-4-5 y Calle Senda Langarica 16,Agurain/Salvatierra,Agurain/Salvatierra,1200.0,Araba/Álava,D1,1976,Anterior NBE-CT-79,5100040115,Vivienda,Existente,2016-10-17,2026-10-17,7900.0,100,0,151.0,31.4,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00052238-A02,130105100000250.0,80105100000501.0,1,51,10105100000073,88.0,Euskadi,CE3X,Centralizado,Caldera condensación,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2016/00052241/A02,1,Plaza Senda Langarica 6-7-8-9  Senda Langarica 12-14,Plaza/Plaza,Senda de Langarica,6,-7-8-9 y Calle Senda Langarica 12-14,Agurain/Salvatierra,Agurain/Salvatierra,1200.0,Araba/Álava,D1,1976,Anterior NBE-CT-79,5100040116,Vivienda,Existente,2016-10-17,2026-10-17,7385.0,100,0,152.0,31.6,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00052241-A02,130105100000250.0,80105100000557.0,1,51,10105100000073,82.0,Euskadi,CE3X,Centralizado,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2016/00052248/A01,0,TRAS EL RIO 1-1º DCH,Kalea/Calle,Tras el Río,1,1 Dch.,Iruña Oka/Iruña de Oca,Nanclares de la Oca/Langraiz Oka | Nanclares de la Oca / Langraiz Oka,1230.0,Araba/Álava,D1,1972,Anterior NBE-CT-79,260110280000010001FR,Vivienda,Existente,2020-09-18,2030-09-18,65.0,100,0,237.3,50.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00052248-A01,130190100000790.0,80190100000538.0,1,901,10190100000035,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2016/00052453/T,1,Zaraobe,Kalea/Calle,Federico Barrenengoa,38,y 40,Amurrio,Amurrio,1470.0,Araba/Álava,D1,2016,CTE 2013,0002 0014 0664 0001 0002,Vivienda,Nuevo,2016-07-18,2026-07-18,1430.0,90,0,39.13,8.29,B,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00052453-T,130100200000860.0,80100200029030.0,1,2,10100200000023,16.0,Euskadi,CERMA,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2016/00052744/R01,1,GANEKOGORTA 17 LLODIO,Kalea/Calle,Ganekogorta,17,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,2015,CTE 2006,360504130000010001ER,ViviendaUnifamiliar,Existente,2025-06-01,2035-06-01,299.09,100,0,11.8,2.5,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00052744-R01,130103600001330.0,80103600017950.0,1,36,10103600000016,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Biomasa,Equipos individuales,Caldera estandar,Biomasa
CEE/CAPV/2016/00056942/A01,1,PABLO GACETA,Kalea/Calle,Errotalde,7,B,Elburgo/Burgelu,Gazeta,1192.0,Araba/Álava,D1,1996,NBE-CT-79,210100090000010001HX,ViviendaUnifamiliar,Existente,2023-07-27,2033-07-27,144.0,100,0,67.1,11.4,B,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00056942-A01,130102100000200.0,80102100001490.0,1,21,10102100000060,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2016/00057739/A01,0,Vivienda unifamiliar aislada,Auzoa/Barrio,Villachica,18,UNIFAMILIAR,Okondo,Billatxika,1409.0,Araba/Álava,D1,1964,Anterior NBE-CT-79,42 0004 0282 00A 0001 000,ViviendaUnifamiliar,Existente,2023-05-12,2033-05-12,140.27,100,0,299.8,50.8,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00057739-A01,130104200000050.0,80104200001803.0,1,42,10104200000091,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2016/00059731/A01,1,C/ SANTA ELENA Nº14,Kalea/Calle,Santa Elena,14,-,Campezo/Kanpezu,Santa Cruz de Campezo/Santikurutze Kanpezu,1110.0,Araba/Álava,D1,2013,CTE 2006,170137630000010001LT,ViviendaUnifamiliar,Existente,2023-12-02,2033-12-02,148.47,100,0,22.6,6.2,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00059731-A01,130101700000570.0,80101700013060.0,1,17,10101700000068,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Biomasa,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)"
CEE/CAPV/2016/00059805/E,0,GOIENURI 24A BAJOB,Kalea/Calle,Goienuri,24 -A,BAJO B,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,2007,CTE 2006,0036 0001 0096 0002 0012,Vivienda,Existente,2016-05-24,2026-05-24,88.0,100,0,166.1,35.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00059805-E,130103600000320.0,80103600002425.0,1,36,10103600000016,1.0,Euskadi,CE3X,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2016/00059810/E,0,Vivienda 4ºD,Kalea/Calle,Ruperto Urquijo,4,4º-D,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1964,Anterior NBE-CT-79,0036 0001 0004 0002 0008,Vivienda,Existente,2016-05-25,2026-05-25,77.0,100,0,355.8,75.4,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00059810-E,130103600000880.0,80103600008184.0,1,36,10103600000016,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2016/00059818/E,0,Irabien 13-C,Auzoa/Barrio,Irabien,13 -C,UNIFAMILIAR,Okondo,Irabien,1409.0,Araba/Álava,D1,2011,CTE 2006,42.0001.0403.000.0003.001,Vivienda,Existente,2016-05-25,2026-05-25,89.0,100,0,241.6,51.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2016-00059818-E,130104200000010.0,80104200004700.0,1,42,10104200000014,1.0,Euskadi,CE3X,Equipos individuales,Caldera condensación,Gas natural,Equipos individuales,Caldera condensación,Gas natural
